               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11337,            0.028995,                   0,            0.029578,            0.094778,            0.011081,           0.0018359,            0.092831,            0.023485,                   0,               0.002,               0.002,               0.082
                   1,            0.088847,              0.0259,                   0,             0.12641,             0.31721,            0.087207,             0.01639,            0.075985,            0.018542,                   0,           0.0040865,           0.0040865,            0.063086
                   2,            0.074785,            0.021545,                   0,             0.26716,             0.39845,             0.25159,            0.067354,            0.076196,            0.015018,                   0,           0.0061591,           0.0061591,            0.044159
                   3,            0.068839,            0.020921,                   0,             0.27346,             0.44874,             0.33186,             0.12065,            0.073276,            0.013731,                   0,           0.0082178,           0.0082178,            0.025218
                   4,            0.066171,             0.02086,                   0,             0.48359,             0.30368,             0.28799,            0.069564,             0.07896,            0.013146,                   0,            0.009868,            0.009868,            0.009868
                   5,            0.062433,            0.019894,                   0,             0.76913,             0.50262,             0.65472,             0.25308,             0.04777,            0.014725,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.052379,            0.018223,                   0,             0.63575,              0.7427,             0.68339,             0.27789,            0.046187,            0.013528,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.051161,            0.016846,                   0,             0.73596,             0.76556,              0.7943,             0.28232,            0.049129,            0.012068,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.049098,            0.015826,                   0,              0.7733,             0.72147,              0.7797,             0.25902,            0.049218,           0.0099317,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.044136,            0.014076,                   0,             0.68519,             0.82934,             0.79342,             0.34198,            0.041049,           0.0097577,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.043844,            0.013915,                   0,             0.93659,             0.88975,             0.95799,             0.47204,              0.0358,           0.0091684,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.044483,            0.014004,                   0,             0.96096,              0.9047,             0.97213,             0.55203,            0.034795,           0.0085456,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.040554,            0.012614,                   0,             0.98075,             0.92456,              0.9781,             0.51328,            0.034984,           0.0080821,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.040091,            0.011634,                   0,             0.87801,             0.90716,             0.94664,             0.36925,            0.041175,           0.0081624,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.039055,            0.012158,                   0,             0.80568,             0.76188,             0.81546,              0.3399,            0.045819,            0.010375,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.042719,            0.011514,                   0,             0.92811,               0.874,             0.93297,             0.42722,            0.037983,           0.0077776,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.043773,            0.011567,                   0,             0.94318,             0.93424,             0.97275,             0.50628,            0.034449,           0.0075654,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.036793,            0.010978,                   0,             0.96113,             0.95745,             0.98325,             0.55007,             0.03472,            0.007457,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.034521,            0.011498,                   0,             0.94252,             0.95147,             0.97371,             0.49979,            0.035226,            0.007671,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.037647,            0.011116,                   0,             0.97235,             0.95938,             0.97828,             0.56717,            0.031704,           0.0075004,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.036181,             0.01067,                   0,             0.88909,             0.89936,             0.95605,             0.53294,            0.034529,           0.0077363,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.035449,            0.011319,                   0,              0.9741,             0.94971,              0.9804,             0.51224,            0.032846,           0.0068616,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.034564,            0.010269,                   0,             0.93546,             0.95326,             0.98459,             0.59754,            0.030014,           0.0067492,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.034243,            0.010738,                   0,             0.97034,             0.95164,             0.98891,             0.59221,            0.030081,             0.00666,                   0,            0.009274,            0.009274,            0.009274
                  24,             0.03235,            0.010937,                   0,             0.98024,             0.95937,             0.99157,             0.56981,            0.030498,           0.0067399,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.032597,            0.009834,                   0,             0.98248,             0.98066,             0.99423,             0.56614,            0.028973,           0.0066829,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.033213,            0.010414,                   0,             0.98043,             0.96903,             0.97839,             0.56742,            0.029595,           0.0064755,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.034283,            0.010114,                   0,             0.97623,             0.95337,             0.97876,             0.56927,             0.03155,           0.0066371,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.031585,           0.0094316,                   0,             0.97509,             0.98439,             0.99292,              0.5863,            0.028986,             0.00639,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.034083,           0.0097141,                   0,             0.97653,             0.96905,              0.9907,             0.55623,            0.030967,           0.0066266,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.032085,           0.0099936,                   0,             0.97636,             0.96132,             0.98986,             0.57058,            0.029406,           0.0067303,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.032943,            0.010326,                   0,             0.98826,             0.97677,             0.99144,             0.56221,            0.029663,           0.0063048,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.033781,           0.0099929,                   0,             0.98442,             0.98066,              0.9939,             0.64672,            0.026715,            0.006347,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.030767,           0.0090142,                   0,             0.97281,             0.96903,             0.98124,             0.46418,            0.037641,           0.0063949,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.032672,            0.009103,                   0,             0.97681,             0.98066,             0.99307,             0.63259,            0.026642,           0.0062189,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.030972,            0.010366,                   0,              0.9881,             0.96518,             0.98252,             0.56988,             0.03006,           0.0063333,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.029898,           0.0097347,                   0,              0.9845,             0.98254,             0.99159,             0.65389,            0.025914,           0.0062813,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.032239,            0.009338,                   0,             0.99194,             0.95551,             0.98665,             0.57915,            0.029213,           0.0064716,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.028251,           0.0098656,                   0,             0.97687,             0.98259,             0.99415,             0.65058,            0.025548,           0.0061509,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.031711,           0.0093458,                   0,             0.98818,             0.97679,             0.98716,             0.59709,            0.029019,           0.0062765,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.029554,           0.0096245,                   0,             0.99605,             0.97482,             0.99409,             0.64679,            0.026521,           0.0061309,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.027307,           0.0092919,                   0,             0.98613,             0.96325,             0.98258,             0.54781,             0.03252,           0.0063224,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.02764,           0.0091978,                   0,             0.98424,             0.97292,             0.98728,             0.66347,            0.024543,           0.0059546,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.028467,            0.008794,                   0,             0.99802,             0.97483,             0.99258,             0.67174,            0.026342,           0.0058662,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.029376,           0.0089813,                   0,             0.98256,             0.98065,             0.98266,             0.63637,            0.026906,           0.0058932,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028522,           0.0091016,                   0,             0.98836,             0.98646,             0.99455,             0.68055,            0.024896,           0.0059027,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.027914,           0.0091002,                   0,             0.98651,             0.99032,             0.99467,             0.68066,            0.024814,           0.0058504,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.028681,           0.0095467,                   0,             0.99022,             0.98066,             0.99415,             0.64627,            0.026248,           0.0059352,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.028778,            0.008471,                   0,             0.99408,             0.98066,             0.99019,             0.62319,            0.027349,           0.0060149,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.027307,           0.0089467,                   0,             0.98635,             0.97863,             0.99169,             0.62895,            0.027917,           0.0063536,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.027702,           0.0090106,                   0,              0.9803,             0.96712,             0.98186,             0.61131,            0.028171,           0.0066481,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.027968,           0.0091145,                   0,             0.99217,             0.98259,             0.99316,             0.70104,            0.023967,           0.0057377,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.028674,           0.0095619,                   0,             0.99018,             0.97679,             0.98789,             0.64146,            0.026362,           0.0059016,                   0,            0.008317,            0.008317,            0.008317
                  53,             0.02608,           0.0084296,                   0,             0.99004,             0.97292,             0.98864,             0.68929,            0.024981,           0.0059837,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.027364,           0.0089915,                   0,             0.99025,             0.98259,             0.99391,             0.67776,            0.025215,            0.005794,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.027337,           0.0089163,                   0,              0.9941,             0.98066,             0.99453,             0.68152,            0.024323,           0.0058098,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.027737,           0.0089592,                   0,             0.99217,             0.98058,             0.99385,             0.67125,            0.024749,           0.0059103,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.026057,           0.0091676,                   0,             0.99408,             0.97679,             0.99335,             0.70015,            0.022756,           0.0058687,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.02653,           0.0088702,                   0,             0.99799,             0.98259,             0.99268,             0.67048,            0.025671,           0.0059826,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.027697,           0.0089342,                   0,             0.99411,             0.98066,              0.9913,             0.67856,            0.024353,           0.0058768,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.026427,           0.0088332,                   0,             0.99021,             0.97872,             0.99382,             0.70323,            0.023297,           0.0057378,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.025671,           0.0089113,                   0,             0.98646,             0.98643,              0.9935,             0.65551,            0.025585,            0.005926,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.025347,           0.0079459,                   0,             0.98827,             0.98259,             0.99142,             0.68049,            0.024007,           0.0060772,                   0,            0.007987,            0.007987,            0.007987
